County Code,County Name,District Name,District Code,School Code,School Name,City,School Level,Student Fall Enrollment,Total Days Possible,Total Days Attended,Total Student Days Excused Absence,Total Student Days Unexcused Absent,Attendance Rate,Truancy Rate
12,COSTILLA,SIERRA GRANDE R-30,740,7880,SIERRA GRANDE SENIOR HIGH SCHOOL,BLANCA,Senior,88,12539,11630.00,730.50,178.50,0.93,0.01
13,CROWLEY,CROWLEY COUNTY RE-1-J,770,1967,CROWLEY COUNTY ONLINE ACADEMY,ORDWAY,Senior,11,941,924.00,0.00,17.00,0.98,0.02
13,CROWLEY,CROWLEY COUNTY RE-1-J,770,2050,CROWLEY COUNTY ELEMENTARY SCHOOL,ORDWAY,Elementary,202,28049,26502.50,1094.50,451.50,0.94,0.02
13,CROWLEY,CROWLEY COUNTY RE-1-J,770,2054,CROWLEY COUNTY WARD MIDDLE SCHOOL,ORDWAY,Middle/Jr. High,138,17952,17044.00,582.50,325.50,0.95,0.02
13,CROWLEY,CROWLEY COUNTY RE-1-J,770,2058,CROWLEY COUNTY HIGH SCHOOL,ORDWAY,Senior,142,2874,1878.50,649.50,346.00,0.65,0.12
14,CUSTER,CUSTER COUNTY SCHOOL DISTRICT C-1,860,2088,CUSTER COUNTY ELEMENTARY SCHOOL,WESTCLIFFE,Elementary,181,28142,27093.00,850.50,198.50,0.96,0.01
14,CUSTER,CUSTER COUNTY SCHOOL DISTRICT C-1,860,2091,CUSTER MIDDLE SCHOOL,WESTCLIFFE,Middle/Jr. High,101,15855,14992.00,707.50,155.50,0.95,0.01
14,CUSTER,CUSTER COUNTY SCHOOL DISTRICT C-1,860,2092,CUSTER COUNTY HIGH SCHOOL,WESTCLIFFE,Senior,172,25935,24002.00,1622.50,310.50,0.93,0.01
15,DELTA,DELTA COUNTY 50(J),870,489,BACKPACK EARLY LEARNING ACADEMY,DELTA,Elementary,217,32299,27831.00,4468.00,0.00,0.86,0.00
15,DELTA,DELTA COUNTY 50(J),870,1372,CEDAREDGE HIGH SCHOOL,CEDAREDGE,Senior,275,45674,43590.00,1993.00,91.00,0.95,0.00
15,DELTA,DELTA COUNTY 50(J),870,1375,CEDAREDGE MIDDLE SCHOOL,CEDAREDGE,Middle/Jr. High,201,34458,33014.50,945.00,498.50,0.96,0.01
15,DELTA,DELTA COUNTY 50(J),870,1952,CRAWFORD ELEMENTARY SCHOOL,CRAWFORD,Elementary,109,18322,17034.00,1266.50,21.50,0.93,0.00
15,DELTA,DELTA COUNTY 50(J),870,2152,DELTA ACADEMY OF APPLIED LEARNING,DELTA,Middle/Jr. High,24,3941,3812.50,128.50,0.00,0.97,0.00
15,DELTA,DELTA COUNTY 50(J),870,2155,DELTA COUNTY OPPORTUNITY SCHOOL,DELTA,Senior,107,17667,15075.00,1108.50,1483.50,0.85,0.08
15,DELTA,DELTA COUNTY 50(J),870,2160,DELTA MIDDLE SCHOOL,DELTA,Middle/Jr. High,472,80200,75671.50,3547.00,981.50,0.94,0.01
15,DELTA,DELTA COUNTY 50(J),870,2164,DELTA HIGH SCHOOL,DELTA,Senior,657,106956,104497.00,1636.00,823.00,0.98,0.01
15,DELTA,DELTA COUNTY 50(J),870,2166,DELTA VISION SCHOOL,DELTA,Senior,271,43886,43886.00,0.00,0.00,1.00,0.00
15,DELTA,DELTA COUNTY 50(J),870,3330,GARNET MESA ELEMENTARY SCHOOL,DELTA,Elementary,539,89264,83745.00,5519.00,0.00,0.94,0.00
15,DELTA,DELTA COUNTY 50(J),870,4124,HOTCHKISS ELEMENTARY SCHOOL,HOTCHKISS,Elementary,401,66284,62089.00,4190.50,4.50,0.94,0.00
15,DELTA,DELTA COUNTY 50(J),870,4128,HOTCHKISS HIGH SCHOOL,HOTCHKISS,Senior,252,41536,39695.00,1390.00,451.00,0.96,0.01
15,DELTA,DELTA COUNTY 50(J),870,4182,CEDAREDGE ELEMENTARY SCHOOL,CEDAREDGE,Elementary,394,65925,62037.00,3888.00,0.00,0.94,0.00
15,DELTA,DELTA COUNTY 50(J),870,5154,LINCOLN ELEMENTARY SCHOOL,DELTA,Elementary,529,87107,81718.50,4577.00,811.50,0.94,0.01
15,DELTA,DELTA COUNTY 50(J),870,6298,NORTH FORK MONTESSORI SCHOOL,HOTCHKISS,Elementary,76,12446,11465.50,978.50,2.00,0.92,0.00
15,DELTA,DELTA COUNTY 50(J),870,6700,PAONIA ELEMENTARY SCHOOL,PAONIA,Elementary,230,39284,36921.50,2239.50,123.00,0.94,0.00
15,DELTA,DELTA COUNTY 50(J),870,6708,PAONIA HIGH SCHOOL,PAONIA,Senior,250,41626,40032.00,1513.00,81.00,0.96,0.00
15,DELTA,DELTA COUNTY 50(J),870,8419,SURFACE CREEK VISION SCHOOL,CEDAREDGE,Senior,201,32508,32508.00,0.00,0.00,1.00,0.00
15,DELTA,DELTA COUNTY 50(J),870,9146,NORTH FORK VISION SCHOOL,DELTA,Senior,96,15568,15568.00,0.00,0.00,1.00,0.00
16,DENVER,DENVER COUNTY 1,880,10,ABRAHAM LINCOLN HIGH SCHOOL,DENVER,Senior,1930,341684,315497.60,5330.70,20855.70,0.92,0.06
16,DENVER,DENVER COUNTY 1,880,40,RIDGE VIEW ACADEMY CHARTER SCHOOL,WATKINS,Senior,333,73692,69292.00,0.20,4399.80,0.94,0.06
16,DENVER,DENVER COUNTY 1,880,67,ACADEMY OF URBAN LEARNING,DENVER,Senior,116,10499,8795.30,341.50,1362.20,0.84,0.13
16,DENVER,DENVER COUNTY 1,880,220,AMESSE ELEMENTARY SCHOOL,DENVER,Elementary,593,100600,95218.00,2195.50,3186.50,0.95,0.03
16,DENVER,DENVER COUNTY 1,880,388,ASBURY ELEMENTARY SCHOOL,DENVER,Elementary,379,62571,59191.40,3004.10,375.50,0.95,0.01
16,DENVER,DENVER COUNTY 1,880,408,VALDEZ ELEMENTARY SCHOOL,DENVER,Elementary,369,62550,58940.00,884.50,2725.50,0.94,0.04
16,DENVER,DENVER COUNTY 1,880,418,ASHLEY ELEMENTARY SCHOOL,DENVER,Elementary,345,59272,55305.00,2964.50,1002.50,0.93,0.02
16,DENVER,DENVER COUNTY 1,880,520,BARNUM ELEMENTARY SCHOOL,DENVER,Elementary,460,78763,74659.50,1682.00,2421.50,0.95,0.03
16,DENVER,DENVER COUNTY 1,880,540,BARRETT ELEMENTARY SCHOOL,DENVER,Elementary,207,34533,31897.00,1318.50,1317.50,0.92,0.04
16,DENVER,DENVER COUNTY 1,880,650,BEACH COURT ELEMENTARY SCHOOL,DENVER,Elementary,354,60518,56473.00,2479.00,1566.00,0.93,0.03
16,DENVER,DENVER COUNTY 1,880,964,BRADLEY ELEMENTARY SCHOOL,DENVER,Elementary,534,89528,84809.00,3672.00,1047.00,0.95,0.01
16,DENVER,DENVER COUNTY 1,880,1056,BROMWELL ELEMENTARY SCHOOL,DENVER,Elementary,317,54093,52009.50,1743.50,340.00,0.96,0.01
16,DENVER,DENVER COUNTY 1,880,1076,BROWN ELEMENTARY SCHOOL,DENVER,Elementary,492,82835,78392.00,1881.50,2561.50,0.95,0.03
16,DENVER,DENVER COUNTY 1,880,1106,BRYANT WEBSTER K-8 SCHOOL,DENVER,Elementary,459,76845,72521.30,2998.00,1325.70,0.94,0.02
16,DENVER,DENVER COUNTY 1,880,1319,FRED N THOMAS CAREER EDUCATION CENTER,DENVER,Senior,400,124011,120049.30,1523.90,2437.80,0.97,0.02
16,DENVER,DENVER COUNTY 1,880,1324,CARSON ELEMENTARY SCHOOL,DENVER,Elementary,400,68272,64140.50,3791.00,340.50,0.94,0.01
16,DENVER,DENVER COUNTY 1,880,1345,CESAR CHAVEZ ACADEMY DENVER,DENVER,Elementary,415,72963,68111.20,2733.70,2118.10,0.93,0.03
16,DENVER,DENVER COUNTY 1,880,1400,CENTENNIAL K-8 SCHOOL,DENVER,Elementary,534,91429,85677.50,2975.20,2776.30,0.94,0.03
16,DENVER,DENVER COUNTY 1,880,1528,CHELTENHAM ELEMENTARY SCHOOL,DENVER,Elementary,497,84977,79067.50,1171.00,4738.50,0.93,0.06
16,DENVER,DENVER COUNTY 1,880,1748,COLORADO HIGH SCHOOL,DENVER,Senior,194,24848,17238.30,1138.50,6471.20,0.69,0.26
16,DENVER,DENVER COUNTY 1,880,1774,COLFAX ELEMENTARY SCHOOL,DENVER,Elementary,373,62570,57039.20,1638.40,3892.40,0.91,0.06
16,DENVER,DENVER COUNTY 1,880,1785,COLE ARTS AND SCIENCE ACADEMY,DENVER,Elementary,689,113156,106242.90,3246.70,3666.40,0.94,0.03
16,DENVER,DENVER COUNTY 1,880,1788,COLLEGE VIEW ELEMENTARY SCHOOL,DENVER,Elementary,443,75043,70305.00,1735.50,3002.50,0.94,0.04
16,DENVER,DENVER COUNTY 1,880,1816,COLUMBIAN ELEMENTARY SCHOOL,DENVER,Elementary,316,52708,48408.00,2039.00,2261.00,0.92,0.04
16,DENVER,DENVER COUNTY 1,880,1846,COLUMBINE ELEMENTARY SCHOOL,DENVER,Elementary,292,49260,45116.90,1277.50,2865.60,0.92,0.06
16,DENVER,DENVER COUNTY 1,880,1866,ACE COMMUNITY CHALLENGE CHARTER SCHOOL,DENVER,Senior,211,30193,24509.50,2528.00,3155.50,0.81,0.10
16,DENVER,DENVER COUNTY 1,880,1908,CORY ELEMENTARY SCHOOL,DENVER,Elementary,473,79816,76403.60,2435.00,977.40,0.96,0.01
16,DENVER,DENVER COUNTY 1,880,1928,COWELL ELEMENTARY SCHOOL,DENVER,Elementary,523,90226,84656.00,2381.50,3188.50,0.94,0.04
16,DENVER,DENVER COUNTY 1,880,2027,POLARIS AT EBERT ELEMENTARY SCHOOL,DENVER,Elementary,329,55779,53688.10,1901.90,189.00,0.96,0.00
16,DENVER,DENVER COUNTY 1,880,2125,DENVER GREEN SCHOOL,DENVER,Elementary,206,35068,32400.00,1087.60,1580.40,0.92,0.05
16,DENVER,DENVER COUNTY 1,880,2127,DENVER LANGUAGE SCHOOL,DENVER,Elementary,242,42780,40540.40,1434.60,805.00,0.95,0.02
16,DENVER,DENVER COUNTY 1,880,2145,DSST: GREEN VALLY RANCH,DENVER,Middle/Jr. High,141,23831,23022.50,693.70,114.80,0.97,0.00
16,DENVER,DENVER COUNTY 1,880,2174,DENISON MONTESSORI SCHOOL,DENVER,Elementary,433,73099,68613.20,2894.80,1591.00,0.94,0.02
16,DENVER,DENVER COUNTY 1,880,2183,DENVER CENTER FOR INTERNATIONAL STUDIES,DENVER,Senior,643,108320,101237.10,3697.00,3385.90,0.93,0.03
16,DENVER,DENVER COUNTY 1,880,2184,DENVER SCHOOL OF THE ARTS,DENVER,Senior,1043,174087,165433.20,6338.00,2315.80,0.95,0.01
16,DENVER,DENVER COUNTY 1,880,2185,DSST: STAPLETON,DENVER,Senior,874,149485,141866.60,5148.80,2469.60,0.95,0.02
16,DENVER,DENVER COUNTY 1,880,2258,DOULL ELEMENTARY SCHOOL,DENVER,Elementary,494,83502,79099.50,3433.50,969.00,0.95,0.01
16,DENVER,DENVER COUNTY 1,880,2364,EAGLETON ELEMENTARY SCHOOL,DENVER,Elementary,394,65599,60784.00,2795.50,2019.50,0.93,0.03
16,DENVER,DENVER COUNTY 1,880,2398,EAST HIGH SCHOOL,DENVER,Senior,2199,365791,336617.30,16097.50,13076.20,0.92,0.04
16,DENVER,DENVER COUNTY 1,880,2506,EDISON ELEMENTARY SCHOOL,DENVER,Elementary,571,95842,91409.50,2702.00,1730.50,0.95,0.02
16,DENVER,DENVER COUNTY 1,880,2652,ELLIS ELEMENTARY SCHOOL,DENVER,Elementary,587,100472,94129.50,2064.50,4278.00,0.94,0.04
16,DENVER,DENVER COUNTY 1,880,2726,EMILY GRIFFITH TECHNICAL COLLEGE,DENVER,Senior,502,80087,71043.80,2318.90,6724.30,0.89,0.08
16,DENVER,DENVER COUNTY 1,880,2755,VENTURE PREP,DENVER,Senior,357,65005,58990.90,2279.70,3734.40,0.91,0.06
16,DENVER,DENVER COUNTY 1,880,2789,ESCUELA TLATELOLCO SCHOOL,DENVER,Senior,129,21648,19665.80,1284.30,697.90,0.91,0.03
16,DENVER,DENVER COUNTY 1,880,2856,FAIRMONT K-8 SCHOOL,DENVER,Elementary,423,70067,64704.20,2484.40,2878.40,0.92,0.04
16,DENVER,DENVER COUNTY 1,880,2880,FAIRVIEW ELEMENTARY SCHOOL,DENVER,Elementary,305,51123,47295.00,1216.50,2611.50,0.93,0.05
16,DENVER,DENVER COUNTY 1,880,3000,FLORENCE CRITTENTON HIGH SCHOOL,DENVER,Senior,179,26351,16867.40,2601.30,6882.30,0.64,0.26
16,DENVER,DENVER COUNTY 1,880,3032,FORCE ELEMENTARY SCHOOL,DENVER,Elementary,568,93871,88043.50,3274.50,2553.00,0.94,0.03
16,DENVER,DENVER COUNTY 1,880,3038,FORD ELEMENTARY SCHOOL,DENVER,Elementary,690,118478,110347.00,2253.00,5878.00,0.93,0.05
16,DENVER,DENVER COUNTY 1,880,3296,GARDEN PLACE ELEMENTARY SCHOOL,DENVER,Elementary,353,60013,56374.20,1290.30,2348.50,0.94,0.04
16,DENVER,DENVER COUNTY 1,880,3340,ARCHULETA ELEMENTARY SCHOOL,DENVER,Elementary,692,115586,109857.50,2492.00,3236.50,0.95,0.03
16,DENVER,DENVER COUNTY 1,880,3378,GEORGE WASHINGTON HIGH SCHOOL,DENVER,Senior,1606,269175,245811.10,6906.40,16457.50,0.91,0.06
16,DENVER,DENVER COUNTY 1,880,3426,GILPIN ELEMENTARY SCHOOL,DENVER,Elementary,212,35331,31756.50,805.00,2769.50,0.90,0.08
16,DENVER,DENVER COUNTY 1,880,3478,GODSMAN ELEMENTARY SCHOOL,DENVER,Elementary,481,82830,76720.00,2792.00,3318.00,0.93,0.04
16,DENVER,DENVER COUNTY 1,880,3512,GOLDRICK ELEMENTARY SCHOOL,DENVER,Elementary,624,112431,106128.00,2366.00,3937.00,0.94,0.04
16,DENVER,DENVER COUNTY 1,880,3600,GRANT MIDDLE SCHOOL,DENVER,Middle/Jr. High,358,60417,54399.50,3600.90,2416.60,0.90,0.04
16,DENVER,DENVER COUNTY 1,880,3605,GRANT RANCH K-8 SCHOOL,DENVER,Elementary,763,128057,120116.70,3912.70,4027.60,0.94,0.03
16,DENVER,DENVER COUNTY 1,880,3639,GIRLS ATHLETIC LEADERSHIP SCHOOL,DENVER,Middle/Jr. High,120,20072,18651.90,611.60,808.50,0.93,0.04
16,DENVER,DENVER COUNTY 1,880,3641,GREEN VALLEY ELEMENTARY SCHOOL,DENVER,Elementary,604,106598,100700.50,4350.00,1547.50,0.94,0.01
16,DENVER,DENVER COUNTY 1,880,3647,GREENWOOD ECE-8,DENVER,Elementary,783,133257,127041.30,3533.70,2682.00,0.95,0.02
16,DENVER,DENVER COUNTY 1,880,3655,GREENLEE ELEMENTARY SCHOOL,DENVER,Elementary,437,76603,71382.50,1843.00,3377.50,0.93,0.04
16,DENVER,DENVER COUNTY 1,880,3704,GUST ELEMENTARY SCHOOL,DENVER,Elementary,629,105393,98381.00,4123.00,2889.00,0.93,0.03
16,DENVER,DENVER COUNTY 1,880,3746,HAMILTON MIDDLE SCHOOL,DENVER,Middle/Jr. High,977,161070,149853.90,8518.90,2697.20,0.93,0.02
16,DENVER,DENVER COUNTY 1,880,3778,HARRINGTON ELEMENTARY SCHOOL,DENVER,Elementary,445,77139,73674.80,1973.70,1490.50,0.96,0.02
16,DENVER,DENVER COUNTY 1,880,3987,HIGHLINE ACADEMY CHARTER SCHOOL,DENVER,Elementary,504,88647,84734.50,2746.50,1166.00,0.96,0.01
16,DENVER,DENVER COUNTY 1,880,3990,HILL CAMPUS OF ARTS AND SCIENCES,DENVER,Middle/Jr. High,826,140074,129894.50,6650.20,3529.30,0.93,0.03
16,DENVER,DENVER COUNTY 1,880,4074,HOLM ELEMENTARY SCHOOL,DENVER,Elementary,584,98449,92577.50,3101.00,2770.50,0.94,0.03
16,DENVER,DENVER COUNTY 1,880,4140,HOWELL K-8 SCHOOL,DENVER,Elementary,826,138165,129293.80,5778.30,3092.90,0.94,0.02
16,DENVER,DENVER COUNTY 1,880,4444,JOHN F KENNEDY HIGH SCHOOL,DENVER,Senior,1125,178898,158287.70,9967.50,10642.80,0.88,0.06
16,DENVER,DENVER COUNTY 1,880,4450,JOHNSON ELEMENTARY SCHOOL,DENVER,Elementary,417,71612,67396.00,2862.50,1353.50,0.94,0.02
16,DENVER,DENVER COUNTY 1,880,4494,JUSTICE HIGH SCHOOL DENVER,DENVER,Senior,106,16538,12695.90,1228.20,2613.90,0.77,0.16
16,DENVER,DENVER COUNTY 1,880,4498,KAISER ELEMENTARY SCHOOL,DENVER,Elementary,323,56989,52864.00,2061.50,2063.50,0.93,0.04
16,DENVER,DENVER COUNTY 1,880,4656,KEPNER MIDDLE SCHOOL,DENVER,Middle/Jr. High,1106,186512,170673.70,6750.50,9087.80,0.92,0.05
16,DENVER,DENVER COUNTY 1,880,4730,KIPP DENVER COLLEGIATE HIGH SCHOOL,DENVER,Senior,226,41925,38975.70,1878.90,1070.40,0.93,0.03
16,DENVER,DENVER COUNTY 1,880,4732,KIPP SUNSHINE PEAK ACADEMY,DENVER,Middle/Jr. High,369,74914,72305.00,814.50,1794.50,0.97,0.02
16,DENVER,DENVER COUNTY 1,880,4762,KNAPP ELEMENTARY SCHOOL,DENVER,Elementary,682,114387,108909.00,2263.00,3215.00,0.95,0.03
16,DENVER,DENVER COUNTY 1,880,4782,HALLETT FUNDAMENTAL ACADEMY,DENVER,Elementary,360,59427,55825.00,1709.50,1892.50,0.94,0.03
16,DENVER,DENVER COUNTY 1,880,4795,KUNSMILLER CREATIVE ARTS ACADEMY,DENVER,Elementary,653,108762,103104.90,3357.30,2299.80,0.95,0.02
16,DENVER,DENVER COUNTY 1,880,4910,LAKE MIDDLE SCHOOL,DENVER,Middle/Jr. High,349,58841,53995.40,3513.10,1332.50,0.92,0.02
16,DENVER,DENVER COUNTY 1,880,5129,LIFE SKILLS CENTER OF DENVER,DENVER,Senior,232,46457,36212.00,1447.50,8797.50,0.78,0.19
16,DENVER,DENVER COUNTY 1,880,5158,LINCOLN ELEMENTARY SCHOOL,DENVER,Elementary,331,55830,53249.00,1708.00,873.00,0.95,0.02
16,DENVER,DENVER COUNTY 1,880,5255,LAKE INTERNATIONAL SCHOOL,DENVER,Middle/Jr. High,167,26823,24925.00,1250.60,647.40,0.93,0.02
16,DENVER,DENVER COUNTY 1,880,5342,LOWRY ELEMENTARY SCHOOL,DENVER,Elementary,532,89943,85813.50,2031.50,2098.00,0.95,0.02
16,DENVER,DENVER COUNTY 1,880,5430,MANNY MARTINEZ MIDDLE SCHOOL,DENVER,Middle/Jr. High,224,38200,34400.10,1065.20,2734.70,0.90,0.07
16,DENVER,DENVER COUNTY 1,880,5448,MANUAL HIGH SCHOOL,DENVER,Senior,349,58617,54020.50,2806.40,1790.10,0.92,0.03
16,DENVER,DENVER COUNTY 1,880,5578,MARRAMA ELEMENTARY SCHOOL,DENVER,Elementary,550,90020,85112.50,2988.00,1919.50,0.95,0.02
16,DENVER,DENVER COUNTY 1,880,5605,MARTIN LUTHER KING JR. EARLY COLLEGE,DENVER,Senior,1242,204875,191415.80,5696.10,7763.10,0.93,0.04
16,DENVER,DENVER COUNTY 1,880,5608,MATHEMATICS AND SCIENCE LEADERSHIP ACADEMY,DENVER,Elementary,179,30004,28194.80,970.20,839.00,0.94,0.03
16,DENVER,DENVER COUNTY 1,880,5644,MAXWELL ELEMENTARY SCHOOL,DENVER,Elementary,524,88516,83466.00,2574.50,2475.50,0.94,0.03
16,DENVER,DENVER COUNTY 1,880,5685,MC GLONE ELEMENTARY SCHOOL,DENVER,Elementary,562,94867,88051.00,1925.00,4891.00,0.93,0.05
16,DENVER,DENVER COUNTY 1,880,5702,MC KINLEY-THATCHER ELEMENTARY SCHOOL,DENVER,Elementary,223,37896,35868.50,1769.00,258.50,0.95,0.01
16,DENVER,DENVER COUNTY 1,880,5716,MC MEEN ELEMENTARY SCHOOL,DENVER,Elementary,641,107238,101112.60,3161.10,2964.30,0.94,0.03
16,DENVER,DENVER COUNTY 1,880,5826,MERRILL MIDDLE SCHOOL,DENVER,Middle/Jr. High,545,94806,87122.50,4440.20,3243.30,0.92,0.03
16,DENVER,DENVER COUNTY 1,880,5844,CONTEMPORARY LEARNING ACADEMY HIGH SCHOOL,DENVER,Senior,210,47331,36148.10,2477.20,8705.70,0.76,0.18
16,DENVER,DENVER COUNTY 1,880,5995,MONTBELLO HIGH SCHOOL,DENVER,Senior,1618,271104,247759.30,5231.80,18112.90,0.91,0.07
16,DENVER,DENVER COUNTY 1,880,5998,OAKLAND ELEMENTARY SCHOOL,DENVER,Elementary,506,87092,80679.50,3868.00,2544.50,0.93,0.03
16,DENVER,DENVER COUNTY 1,880,6002,MONTCLAIR ELEMENTARY SCHOOL,DENVER,Elementary,474,81060,76430.00,2670.00,1960.00,0.94,0.02
16,DENVER,DENVER COUNTY 1,880,6088,MOORE K-8 SCHOOL,DENVER,Elementary,465,77736,72951.40,2850.80,1933.80,0.94,0.02
16,DENVER,DENVER COUNTY 1,880,6098,MOREY MIDDLE SCHOOL,DENVER,Middle/Jr. High,813,135267,127711.50,5386.10,2169.40,0.94,0.02
16,DENVER,DENVER COUNTY 1,880,6188,MUNROE ELEMENTARY SCHOOL,DENVER,Elementary,548,93621,88763.00,3138.50,1719.50,0.95,0.02
16,DENVER,DENVER COUNTY 1,880,6254,NEWLON ELEMENTARY SCHOOL,DENVER,Elementary,575,95748,90693.50,2080.50,2974.00,0.95,0.03
16,DENVER,DENVER COUNTY 1,880,6314,NORTH HIGH SCHOOL,DENVER,Senior,874,147970,130892.50,3839.50,13238.00,0.88,0.09
16,DENVER,DENVER COUNTY 1,880,6350,BRUCE RANDOLPH SCHOOL,DENVER,Senior,893,149703,138666.60,6884.40,4152.00,0.93,0.03
16,DENVER,DENVER COUNTY 1,880,6394,NORTHEAST ACADEMY CHARTER SCHOOL,DENVER,Elementary,416,69627,64575.50,1440.60,3610.90,0.93,0.05
16,DENVER,DENVER COUNTY 1,880,6397,ACADEMIA ANA MARIE SANDOVAL,DENVER,Elementary,371,62535,59804.00,1235.70,1495.30,0.96,0.02
16,DENVER,DENVER COUNTY 1,880,6479,ODYSSEY CHARTER ELEMENTARY SCHOOL,DENVER,Elementary,226,37605,36438.00,939.50,227.50,0.97,0.01
16,DENVER,DENVER COUNTY 1,880,6508,OMAR D BLAIR CHARTER SCHOOL,DENVER,Elementary,800,147437,140243.50,2804.50,4389.00,0.95,0.03
16,DENVER,DENVER COUNTY 1,880,6509,ONLINE HIGH SCHOOL,DENVER,Senior,99,25189,22798.60,7.20,2383.20,0.91,0.09
16,DENVER,DENVER COUNTY 1,880,6676,PALMER ELEMENTARY SCHOOL,DENVER,Elementary,354,61436,58382.50,1203.50,1850.00,0.95,0.03
16,DENVER,DENVER COUNTY 1,880,6754,PARK HILL SCHOOL,DENVER,Elementary,511,86134,82329.40,3072.20,732.40,0.96,0.01
16,DENVER,DENVER COUNTY 1,880,6784,NOEL MIDDLE SCHOOL,DENVER,Middle/Jr. High,679,118196,109718.80,2787.40,5689.80,0.93,0.05
16,DENVER,DENVER COUNTY 1,880,6957,PIONEER CHARTER SCHOOL,DENVER,Elementary,361,62410,60002.50,1587.00,820.50,0.96,0.01
16,DENVER,DENVER COUNTY 1,880,6970,PITT-WALLER K-8 SCHOOL,DENVER,Elementary,972,163697,153639.50,4043.60,6013.90,0.94,0.04
16,DENVER,DENVER COUNTY 1,880,7045,PLACE BRIDGE ACADEMY,DENVER,Elementary,974,168515,157215.40,4259.20,7040.40,0.93,0.04
16,DENVER,DENVER COUNTY 1,880,7163,P.R.E.P. (POSITIVE REFOCUS EDUCATION PROGRAM),DENVER,Senior,162,42919,33390.70,1145.10,8383.20,0.78,0.20
16,DENVER,DENVER COUNTY 1,880,7199,P.S.1 CHARTER SCHOOL,DENVER,Senior,147,23393,17123.20,912.60,5357.20,0.73,0.23
16,DENVER,DENVER COUNTY 1,880,7370,RISHEL MIDDLE SCHOOL,DENVER,Middle/Jr. High,125,20494,18916.60,928.80,648.60,0.92,0.03
16,DENVER,DENVER COUNTY 1,880,7554,SABIN WORLD SCHOOL,DENVER,Elementary,667,112478,105187.60,4455.30,2835.10,0.94,0.03
16,DENVER,DENVER COUNTY 1,880,7578,SAMUELS ELEMENTARY SCHOOL,DENVER,Elementary,643,106668,99673.50,3679.00,3315.50,0.93,0.03
16,DENVER,DENVER COUNTY 1,880,7694,CHARLES M. SCHENCK (CMS) COMMUNITY SCHOOL,DENVER,Elementary,670,114300,107511.00,2561.50,4227.50,0.94,0.04
16,DENVER,DENVER COUNTY 1,880,7698,SCHMITT ELEMENTARY SCHOOL,DENVER,Elementary,394,68450,63890.00,1243.00,3317.00,0.93,0.05
16,DENVER,DENVER COUNTY 1,880,7942,SKINNER MIDDLE SCHOOL,DENVER,Middle/Jr. High,349,58733,54527.50,2540.90,1664.60,0.93,0.03
16,DENVER,DENVER COUNTY 1,880,7972,SLAVENS K-8 SCHOOL,DENVER,Elementary,543,91820,88752.60,2648.90,418.50,0.97,0.00
16,DENVER,DENVER COUNTY 1,880,7992,SMILEY MIDDLE SCHOOL,DENVER,Middle/Jr. High,274,48086,44119.60,1541.50,2424.90,0.92,0.05
16,DENVER,DENVER COUNTY 1,880,8006,SMITH ELEMENTARY SCHOOL,DENVER,Elementary,436,73697,68941.50,777.50,3978.00,0.94,0.05
16,DENVER,DENVER COUNTY 1,880,8053,SOAR GREEN VALLEY RANCH,DENVER,Elementary,235,39325,37394.50,968.50,962.00,0.95,0.02
16,DENVER,DENVER COUNTY 1,880,8054,HENRY WORLD SCHOOL GRADES 6-8,DENVER,Middle/Jr. High,948,158300,144406.80,8052.40,5840.80,0.91,0.04
16,DENVER,DENVER COUNTY 1,880,8085,WEST DENVER PREP:  FEDERAL CAMPUS,DENVER,Middle/Jr. High,322,63187,60883.30,1366.10,937.60,0.96,0.01
16,DENVER,DENVER COUNTY 1,880,8086,SOUTH HIGH SCHOOL,DENVER,Senior,1359,221690,204287.50,6176.10,11226.40,0.92,0.05
16,DENVER,DENVER COUNTY 1,880,8132,SOUTHWEST EARLY COLLEGE CHARTER SCHOOL,DENVER,Senior,314,52415,47263.20,1669.90,3481.90,0.90,0.07
16,DENVER,DENVER COUNTY 1,880,8138,SOUTHMOOR ELEMENTARY SCHOOL,DENVER,Elementary,481,81525,78058.50,3045.50,421.00,0.96,0.01
16,DENVER,DENVER COUNTY 1,880,8145,SUMMIT ACADEMY,DENVER,Senior,131,27210,21866.50,720.00,4623.50,0.80,0.17
16,DENVER,DENVER COUNTY 1,880,8222,STECK ELEMENTARY SCHOOL,DENVER,Elementary,366,61577,58738.00,2428.50,410.50,0.95,0.01
16,DENVER,DENVER COUNTY 1,880,8232,STEDMAN ELEMENTARY SCHOOL,DENVER,Elementary,359,60451,56771.40,402.00,3277.60,0.94,0.05
16,DENVER,DENVER COUNTY 1,880,8242,STEELE ELEMENTARY SCHOOL,DENVER,Elementary,475,80508,77017.00,2509.50,981.50,0.96,0.01
16,DENVER,DENVER COUNTY 1,880,8422,SWANSEA ELEMENTARY SCHOOL,DENVER,Elementary,556,92943,88296.50,2179.00,2467.50,0.95,0.03
16,DENVER,DENVER COUNTY 1,880,8776,TELLER ELEMENTARY SCHOOL,DENVER,Elementary,425,71675,68023.50,2288.50,1363.00,0.95,0.02
16,DENVER,DENVER COUNTY 1,880,8822,THOMAS JEFFERSON HIGH SCHOOL,DENVER,Senior,1070,175117,155614.50,9266.40,10236.10,0.89,0.06
16,DENVER,DENVER COUNTY 1,880,8888,TRAYLOR ELEMENTARY SCHOOL,DENVER,Elementary,592,99303,93578.50,3956.00,1768.50,0.94,0.02
