County Code,County Name,District Name,District Code,School Code,School Name,City,School Level,Student Fall Enrollment,Total Days Possible,Total Days Attended,Total Student Days Excused Absence,Total Student Days Unexcused Absent,Attendance Rate,Truancy Rate
1,ADAMS,ADAMS 12 FIVE STAR SCHOOLS,20,2578,SKYVIEW ELEMENTARY SCHOOL,THORNTON,Elementary,524,88500,83749.00,4409.30,341.20,0.95,0.00
1,ADAMS,ADAMS 12 FIVE STAR SCHOOLS,20,2580,HUNTERS GLEN ELEMENTARY SCHOOL,THORNTON,Elementary,676,104458,98845.00,5140.40,472.60,0.95,0.00
1,ADAMS,ADAMS 12 FIVE STAR SCHOOLS,20,2582,ROCKY MOUNTAIN ELEMENTARY SCHOOL,WESTMINSTER,Elementary,494,78539,73992.00,3501.00,1045.50,0.94,0.01
1,ADAMS,ADAMS 12 FIVE STAR SCHOOLS,20,2584,RIVERDALE ELEMENTARY SCHOOL,THORNTON,Elementary,437,72828,68807.00,3750.00,271.30,0.94,0.00
1,ADAMS,ADAMS 12 FIVE STAR SCHOOLS,20,2918,FEDERAL HEIGHTS ELEMENTARY SCHOOL,DENVER,Elementary,637,125787,119531.00,2734.00,3521.50,0.95,0.03
1,ADAMS,ADAMS 12 FIVE STAR SCHOOLS,20,4000,HILLCREST ELEMENTARY SCHOOL,NORTHGLENN,Elementary,491,75873,71331.00,3490.90,1051.10,0.94,0.01
1,ADAMS,ADAMS 12 FIVE STAR SCHOOLS,20,4108,HORIZON HIGH SCHOOL,BRIGHTON,Senior,1813,308841,284547.00,14918.00,9375.90,0.92,0.03
1,ADAMS,ADAMS 12 FIVE STAR SCHOOLS,20,4172,HULSTROM OPTIONS K-8 SCHOOL,NORTHGLENN,Elementary,730,133792,130139.00,3364.70,288.20,0.97,0.00
1,ADAMS,ADAMS 12 FIVE STAR SCHOOLS,20,4187,SILVER HILLS MIDDLE SCHOOL,NORTHGLENN,Middle/Jr. High,1098,185601,174255.00,9313.60,2032.10,0.94,0.01
1,ADAMS,ADAMS 12 FIVE STAR SCHOOLS,20,5043,LEGACY HIGH SCHOOL,BROOMFIELD,Senior,2023,357287,339201.00,11907.00,6178.90,0.95,0.02
1,ADAMS,ADAMS 12 FIVE STAR SCHOOLS,20,5058,LEROY DRIVE ELEMENTARY SCHOOL,NORTHGLENN,Elementary,471,77554,72911.00,3524.00,1118.50,0.94,0.01
1,ADAMS,ADAMS 12 FIVE STAR SCHOOLS,20,5418,MALLEY DRIVE ELEMENTARY SCHOOL,NORTHGLENN,Elementary,427,66307,62486.00,2685.10,1135.80,0.94,0.02
1,ADAMS,ADAMS 12 FIVE STAR SCHOOLS,20,5706,MC ELWAIN ELEMENTARY SCHOOL,THORNTON,Elementary,472,84235,78809.00,3518.00,1908.00,0.94,0.02
1,ADAMS,ADAMS 12 FIVE STAR SCHOOLS,20,5814,THORNTON MIDDLE SCHOOL,THORNTON,Middle/Jr. High,674,119384,110020.00,6632.30,2731.90,0.92,0.02
1,ADAMS,ADAMS 12 FIVE STAR SCHOOLS,20,5816,THORNTON HIGH SCHOOL,THORNTON,Senior,1762,299819,255903.00,16388.20,27528.20,0.85,0.09
1,ADAMS,ADAMS 12 FIVE STAR SCHOOLS,20,6060,MOUNTAIN RANGE HIGH SCHOOL,WESTMINSTER,Senior,1974,392433,364294.00,15632.70,12506.30,0.93,0.03
1,ADAMS,ADAMS 12 FIVE STAR SCHOOLS,20,6150,MOUNTAIN VIEW ELEMENTARY SCHOOL,BROOMFIELD,Elementary,675,113719,109200.00,4035.70,483.30,0.96,0.00
1,ADAMS,ADAMS 12 FIVE STAR SCHOOLS,20,6342,SHADOW RIDGE MIDDLE SCHOOL,THORNTON,Middle/Jr. High,1050,181184,170061.00,8868.00,2254.50,0.94,0.01
1,ADAMS,ADAMS 12 FIVE STAR SCHOOLS,20,6355,NORTH MOR ELEMENTARY SCHOOL,NORTHGLENN,Elementary,448,71365,66521.00,3790.50,1053.50,0.93,0.01
1,ADAMS,ADAMS 12 FIVE STAR SCHOOLS,20,6376,NORTH STAR ELEMENTARY SCHOOL,DENVER,Elementary,469,83757,78953.00,2514.80,2288.70,0.94,0.03
1,ADAMS,ADAMS 12 FIVE STAR SCHOOLS,20,6398,NORTHGLENN MIDDLE SCHOOL,NORTHGLENN,Middle/Jr. High,748,129482,119715.00,6700.90,3066.20,0.92,0.02
1,ADAMS,ADAMS 12 FIVE STAR SCHOOLS,20,6402,NORTHGLENN HIGH SCHOOL,NORTHGLENN,Senior,1735,296918,266458.00,14082.10,16378.00,0.90,0.06
1,ADAMS,ADAMS 12 FIVE STAR SCHOOLS,20,6830,NIVER CREEK MIDDLE SCHOOL,DENVER,Middle/Jr. High,743,126958,116064.00,6160.00,4733.90,0.91,0.04
1,ADAMS,ADAMS 12 FIVE STAR SCHOOLS,20,7155,PRAIRIE HILLS ELEMENTARY SCHOOL,THORNTON,Elementary,535,90772,86477.00,3817.80,477.00,0.95,0.01
1,ADAMS,ADAMS 12 FIVE STAR SCHOOLS,20,7795,SILVER CREEK ELEMENTARY,THORNTON,Elementary,747,122123,117571.00,4486.40,65.90,0.96,0.00
1,ADAMS,ADAMS 12 FIVE STAR SCHOOLS,20,8211,THE STUDIO SCHOOL,NORTHGLENN,Elementary,243,43833,41964.00,1767.00,101.50,0.96,0.00
1,ADAMS,ADAMS 12 FIVE STAR SCHOOLS,20,8225,STELLAR ELEMENTARY SCHOOL,THORNTON,Elementary,632,97318,92575.00,4188.50,554.50,0.95,0.01
1,ADAMS,ADAMS 12 FIVE STAR SCHOOLS,20,8275,STEM SCHOOL,NORTHGLENN,Elementary,196,23842,22791.00,915.00,136.00,0.96,0.01
1,ADAMS,ADAMS 12 FIVE STAR SCHOOLS,20,8361,STUKEY ELEMENTARY SCHOOL,NORTHGLENN,Elementary,466,74248,69542.00,3622.90,1083.00,0.94,0.01
1,ADAMS,ADAMS 12 FIVE STAR SCHOOLS,20,8842,THORNTON ELEMENTARY SCHOOL,THORNTON,Elementary,446,75653,71281.00,3154.50,1217.00,0.94,0.02
1,ADAMS,ADAMS 12 FIVE STAR SCHOOLS,20,9431,WESTGATE CHARTER,NORTHGLENN,Elementary,213,37291,36956.00,322.30,12.40,0.99,0.00
